9780194501507	2	10.17
9780194598583	2	18.88
9780194598644	45	5.81
9780194598743	2	10.17
9780194598712	15	4.08
9780194597104	25	5.79
9780194558310	20	5.88
9780230489929	5	2.74
9780230461321	20	5.36
9780230466197	3	12.58
9781405061704	50	3.12
9780194110471	2	7.75
9780194110549	2	6.27
9780194110655	1	25.40
9780194110723	2	7.75
9780194110792	2	6.28
9780194110884	1	26.69
9780194111027	2	6.68
9780194111171	1	7.75
9780194111249	1	6.98
9780194111393	1	7.75
9780194111461	1	6.68
9780194111614	1	7.75
9780194111683	1	6.68
9780194111874	2	4.48
9780194111843	2	5.73
9780194110372	1	26.69
9780194739436	1	8.31
9780230404595	20	5.46
9780194728201	15	3.37
9780230011427	95	5.20
9780194378369	30	2.92
9789604472932	5	7.02
9780194070041	1	6.71
9780194070089	1	6.52
9780194070256	3	18.31
9780230436428	1	3.74
9780194340458	10	6.33
9780194579124	1	6.95
9780194579032	1	6.95
9780194579339	1	6.95
9780194579360	1	6.95
9780194027113	15	4.75
9780230011908	25	3.11
9780230011991	25	5.72
9780230012097	60	5.46
9780194730754	2	8.07
9780230533714	20	1.80
9780230723740	20	3.02
9780230723757	20	3.02
9780230723764	15	3.02
9780194045575	2	3.83
9780194045605	2	3.83
9780194045544	2	3.43
9780194403276	1	7.76
9781405061599	85	4.19
9780194766074	50	4.05
9780194410274	2	7.59
9780194821704	1	11.08
9780194822688	2	4.61
9780230470163	1	3.38
9780230470286	1	3.87
9780230470279	1	3.87
9780230422346	1	3.87
9780230402232	1	3.87
9780230460409	1	3.51
9780194566414	1	11.65
9780194566629	2	8.75
9780194765947	15	14.98
9781786329783	4	8.37
9780194023009	3	7.52
9780194569569	3	7.52
9780194325387	10	10.99
9780194779074	1	7.58
9780194705257	2	10.69
9780230422872	1	3.87
9780194351560	1	2.51
9780194027762	2	18.88
9780194027304	1	18.69
9780194027748	2	14.98
0889698360234	1	10.00
0889698369763	1	10.00
0889698348423	1	10.00
0889698360258	1	10.00
5052089133259	4	1.50
2780015670075	1	10.00
2780015670204	1	10.00
9781846532405	20	1.50
9781787001855	20	1.50
9781742819808	20	2.50
9788868604615	10	4.00
9781488935787	15	2.50
9781488934940	10	7.50
9781488935725	15	2.50
9782733855089	20	3.00
9789463343145	20	2.00
9781503721982	15	4.00
9788778841735	20	4.00
9789463343152	20	2.00
9781503724792	15	2.00
9781910851661	6	1.50
9782733855096	20	3.00
9781910716441	20	2.00
9781503707894	15	4.00
9781623484163	20	2.00
9781784453015	20	1.50
9781623482039	20	2.00
9781503709409	15	4.00
9781910851340	10	2.00
9781784456689	20	1.50
9781488934902	10	7.50
9780753732700	10	3.20
9780241285374	16	2.00
9781848108455	20	0.80
9781848108479	20	0.80
9781848108493	20	0.80
9781848108509	20	0.80
9781848108516	20	0.80
9781848108530	20	0.80
9781408346761	20	1.00
